---simulazione 6400k
p: 0.15 | Bit errors: 0.06384415064102567 | Block errors: 1.0 | uncoded_p: 0.150462
p: 0.155 | Bit errors: 0.08572315705128207 | Block errors: 1.0 | uncoded_p: 0.155656
p: 0.16 | Bit errors: 0.10842047275641019 | Block errors: 1.0 | uncoded_p: 0.159373
p: 0.165 | Bit errors: 0.12874098557692307 | Block errors: 1.0 | uncoded_p: 0.164699
p: 0.17 | Bit errors: 0.14407451923076933 | Block errors: 1.0 | uncoded_p: 0.169611
p: 0.17500000000000002 | Bit errors: 0.1652984775641026 | Block errors: 1.0 | uncoded_p: 0.174791
p: 0.18000000000000002 | Bit errors: 0.1808663862179487 | Block errors: 1.0 | uncoded_p: 0.179951
p: 0.18500000000000003 | Bit errors: 0.1973177083333334 | Block errors: 1.0 | uncoded_p: 0.184675
p: 0.19000000000000003 | Bit errors: 0.21271233974358958 | Block errors: 1.0 | uncoded_p: 0.189925
p: 0.19500000000000003 | Bit errors: 0.22382411858974377 | Block errors: 1.0 | uncoded_p: 0.194953
--- simulazione 10000k

p: 0.15 | Bit errors: 0.06426599999999998 | Block errors: 1.0 | uncoded_p: 0.150495
p: 0.155 | Bit errors: 0.08538900000000002 | Block errors: 1.0 | uncoded_p: 0.154199
p: 0.16 | Bit errors: 0.10662499999999991 | Block errors: 1.0 | uncoded_p: 0.159971
p: 0.165 | Bit errors: 0.12756100000000006 | Block errors: 1.0 | uncoded_p: 0.164848
p: 0.17 | Bit errors: 0.147544 | Block errors: 1.0 | uncoded_p: 0.170412
p: 0.17500000000000002 | Bit errors: 0.16472800000000004 | Block errors: 1.0 | uncoded_p: 0.175082
p: 0.18000000000000002 | Bit errors: 0.18120499999999992 | Block errors: 1.0 | uncoded_p: 0.180328
p: 0.18500000000000003 | Bit errors: 0.194827 | Block errors: 1.0 | uncoded_p: 0.184761
p: 0.19000000000000003 | Bit errors: 0.21208699999999994 | Block errors: 1.0 | uncoded_p: 0.189969
p: 0.19500000000000003 | Bit errors: 0.22297 | Block errors: 1.0 | uncoded_p: 0.19587

---simulazione 16000k

p: 0.15 | Bit errors: 0.06477520161290323 | Block errors: 1.0 | uncoded_p: 0.149023
p: 0.155 | Bit errors: 0.08571270161290324 | Block errors: 1.0 | uncoded_p: 0.15361
p: 0.16 | Bit errors: 0.1078165322580645 | Block errors: 1.0 | uncoded_p: 0.159384
p: 0.165 | Bit errors: 0.12652016129032256 | Block errors: 1.0 | uncoded_p: 0.163618
p: 0.17 | Bit errors: 0.1460715725806452 | Block errors: 1.0 | uncoded_p: 0.16764
p: 0.17500000000000002 | Bit errors: 0.16363608870967744 | Block errors: 1.0 | uncoded_p: 0.172897
p: 0.18000000000000002 | Bit errors: 0.1808870967741935 | Block errors: 1.0 | uncoded_p: 0.178648
p: 0.18500000000000003 | Bit errors: 0.1968941532258065 | Block errors: 1.0 | uncoded_p: 0.183747
p: 0.19000000000000003 | Bit errors: 0.21166431451612908 | Block errors: 1.0 | uncoded_p: 0.189488
p: 0.19500000000000003 | Bit errors: 0.22350201612903217 | Block errors: 1.0 | uncoded_p: 0.193623

---simulazione 32000k

p: 0.15 | Bit errors: 0.06575504032258064 | Block errors: 1.0 | uncoded_p: 0.147976
p: 0.155 | Bit errors: 0.08490725806451611 | Block errors: 1.0 | uncoded_p: 0.153212
p: 0.16 | Bit errors: 0.10587298387096772 | Block errors: 1.0 | uncoded_p: 0.158467
p: 0.165 | Bit errors: 0.12841431451612906 | Block errors: 1.0 | uncoded_p: 0.163807
p: 0.17 | Bit errors: 0.14732963709677419 | Block errors: 1.0 | uncoded_p: 0.168464
p: 0.17500000000000002 | Bit errors: 0.16531451612903228 | Block errors: 1.0 | uncoded_p: 0.173355
p: 0.18000000000000002 | Bit errors: 0.179797379032258 | Block errors: 1.0 | uncoded_p: 0.178568
p: 0.18500000000000003 | Bit errors: 0.19807862903225804 | Block errors: 1.0 | uncoded_p: 0.183408
p: 0.19000000000000003 | Bit errors: 0.21059979838709678 | Block errors: 1.0 | uncoded_p: 0.188634
p: 0.19500000000000003 | Bit errors: 0.22551310483870968 | Block errors: 1.0 | uncoded_p: 0.193472

---simulazione 64000k

p: 0.15 | Bit errors: 0.06322291666666666 | Block errors: 1.0 | uncoded_p: 0.143536
p: 0.155 | Bit errors: 0.08711666666666669 | Block errors: 1.0 | uncoded_p: 0.148696
p: 0.16 | Bit errors: 0.10729270833333333 | Block errors: 1.0 | uncoded_p: 0.153446
p: 0.165 | Bit errors: 0.12812916666666668 | Block errors: 1.0 | uncoded_p: 0.157889
p: 0.17 | Bit errors: 0.14711666666666667 | Block errors: 1.0 | uncoded_p: 0.1637
p: 0.17500000000000002 | Bit errors: 0.1641635416666666 | Block errors: 1.0 | uncoded_p: 0.167973
p: 0.18000000000000002 | Bit errors: 0.18187291666666672 | Block errors: 1.0 | uncoded_p: 0.172278
p: 0.185 | Bit errors: 0.19709791666666662 | Block errors: 1.0 | uncoded_p: 0.178027
p: 0.19 | Bit errors: 0.2119802083333333 | Block errors: 1.0 | uncoded_p: 0.182251
p: 0.195 | Bit errors: 0.22663125000000003 | Block errors: 1.0 | uncoded_p: 0.187693
